K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
128,68,68,256,1,1,1,4,32,2,1,32,0.876845
128,68,68,256,1,4,1,1,32,1,2,4,0.56888
128,68,68,256,1,2,4,17,32,1,1,4,0.18098
128,68,68,256,1,4,4,4,32,1,1,16,0.48267
128,68,68,256,1,4,1,2,32,4,1,32,1.2321
128,68,68,256,1,1,1,2,32,4,2,4,0.80243
128,68,68,256,1,1,1,1,32,1,2,8,1.56624
128,68,68,256,1,2,1,2,32,4,1,4,0.5232950000000001
128,68,68,256,1,1,1,2,32,4,2,16,1.109165
128,68,68,256,1,4,1,2,32,4,1,1,0.553055
128,68,68,256,1,1,2,2,32,1,1,32,2.129535
128,68,68,256,1,4,1,2,32,2,1,4,0.40824
128,68,68,256,1,4,2,2,32,2,1,2,0.5600350000000001
128,68,68,256,1,4,1,1,32,2,1,32,2.37344
128,68,68,256,1,1,1,2,32,2,2,1,0.856015
128,68,68,256,1,1,1,1,32,4,2,1,1.5288300000000001
128,68,68,256,1,1,1,2,32,1,1,1,1.46922
128,68,68,256,1,2,1,17,32,2,1,8,0.15091
128,68,68,256,1,4,1,1,32,2,4,32,1.7284000000000002
128,68,68,256,1,2,2,2,32,2,1,1,0.633085
128,68,68,256,1,2,1,1,32,1,2,4,0.87627
128,68,68,256,1,4,2,2,32,2,2,2,0.47580999999999996
128,68,68,256,1,4,1,17,32,1,1,16,0.18074
128,68,68,256,1,1,1,4,32,4,1,16,0.62776
128,68,68,256,1,4,1,1,32,1,1,8,1.43168
128,68,68,256,1,1,1,17,32,1,1,8,0.287725
128,68,68,256,1,4,1,1,32,4,4,32,1.8253249999999999
128,68,68,256,1,1,1,17,32,4,1,4,0.238305
128,68,68,256,1,2,1,1,32,1,4,32,2.04373
128,68,68,256,1,1,1,4,32,2,1,16,0.613555
128,68,68,256,1,4,1,1,32,4,1,4,0.66418
128,68,68,256,1,2,1,17,32,4,1,2,0.157105
128,68,68,256,1,2,1,1,32,4,4,8,1.09795
128,68,68,256,1,4,2,4,32,1,1,2,0.404385
128,68,68,256,1,4,1,2,32,1,2,8,0.455505
128,68,68,256,1,1,1,1,32,2,4,32,2.699375
128,68,68,256,1,4,2,4,32,2,1,8,0.383775
128,68,68,256,1,2,1,4,32,4,1,1,0.413395
128,68,68,256,1,1,1,1,32,1,2,4,1.4508649999999998
128,68,68,256,1,2,1,2,32,4,2,1,0.5817950000000001
128,68,68,256,1,2,1,1,32,1,2,16,1.4046850000000002
128,68,68,256,1,4,2,17,32,2,1,1,0.39102499999999996
128,68,68,256,1,1,1,2,32,4,1,32,1.729535
128,68,68,256,1,4,2,2,32,2,1,4,0.506065
128,68,68,256,1,4,1,17,32,1,1,32,0.284435
128,68,68,256,1,2,1,17,32,4,1,32,0.249905
128,68,68,256,1,1,1,1,32,1,1,32,5.53216
128,68,68,256,1,4,1,2,32,2,2,32,1.01816
128,68,68,256,1,1,1,2,32,2,2,4,0.778895
128,68,68,256,1,4,1,17,32,1,1,4,0.10707
128,68,68,256,1,1,2,4,32,1,1,32,1.1610399999999998
128,68,68,256,1,1,1,1,32,4,2,16,2.07134
128,68,68,256,1,2,1,2,32,2,2,1,0.56154
128,68,68,256,1,4,1,17,32,2,1,32,0.25344
128,68,68,256,1,1,1,1,32,2,1,32,3.440095
128,68,68,256,1,2,2,2,32,2,2,1,0.4367
128,68,68,256,1,2,1,1,32,4,1,2,0.9173899999999999
128,68,68,256,1,4,1,4,32,2,1,4,0.5841099999999999
128,68,68,256,1,2,1,2,32,2,1,1,0.57267
128,68,68,256,1,2,2,4,32,2,1,8,0.41596999999999995
128,68,68,256,1,2,1,2,32,4,1,1,0.57994
128,68,68,256,1,2,2,2,32,2,1,4,0.45238500000000004
128,68,68,256,1,2,1,1,32,1,1,4,1.70224
128,68,68,256,1,1,2,2,32,2,1,8,0.7439
128,68,68,256,1,4,1,1,32,1,2,32,1.821215
128,68,68,256,1,1,2,4,32,2,1,1,0.60989
128,68,68,256,1,2,1,1,32,4,4,1,0.963395
128,68,68,256,1,1,1,1,32,4,4,4,1.55765
128,68,68,256,1,1,1,2,32,2,1,32,1.70797
128,68,68,256,1,2,2,17,32,1,1,32,0.27053
128,68,68,256,1,4,1,2,32,4,1,2,0.418675
128,68,68,256,1,4,1,17,32,4,1,8,0.13162
128,68,68,256,1,2,1,1,32,2,2,32,2.243315
128,68,68,256,1,2,2,2,32,1,2,2,0.32741
128,68,68,256,1,4,1,17,32,2,1,2,0.17156500000000002
128,68,68,256,1,1,1,2,32,2,1,16,1.1744150000000002
128,68,68,256,1,1,1,2,32,2,2,16,1.06771
128,68,68,256,1,1,1,1,32,2,2,4,1.47552
128,68,68,256,1,2,2,2,32,1,2,16,0.47309
128,68,68,256,1,1,1,17,32,4,1,2,0.281165
128,68,68,256,1,1,4,4,32,1,1,16,0.55024
128,68,68,256,1,4,1,1,32,4,2,32,1.8843649999999998
128,68,68,256,1,4,1,17,32,1,1,1,0.30388499999999996
128,68,68,256,1,2,2,2,32,2,2,8,0.35380999999999996
128,68,68,256,1,4,1,4,32,4,1,16,0.55539
