K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
128,68,68,256,1,8,4,1,2,16,1,1,1,1,128,0.5053449999999999
128,68,68,256,1,34,4,1,4,8,1,2,1,1,1,0.18842
128,68,68,256,1,8,4,1,2,16,1,1,2,1,8,0.066575
128,68,68,256,1,2,4,1,2,16,1,4,2,1,32,0.06653
128,68,68,256,1,2,4,1,4,8,1,17,1,1,16,0.06500500000000001
128,68,68,256,1,68,2,1,1,32,1,4,1,1,4,0.12595
128,68,68,256,1,4,2,1,1,32,1,4,2,1,2,0.10035
128,68,68,256,1,2,2,1,2,16,1,17,1,1,8,0.0937
128,68,68,256,1,8,2,1,1,32,1,1,1,1,2,0.10445
128,68,68,256,1,34,2,1,1,32,1,1,1,1,4,0.10035
128,68,68,256,1,8,2,1,1,32,1,1,1,1,1,0.10136
128,68,68,256,1,4,2,1,1,32,1,4,1,1,32,0.0676
128,68,68,256,1,4,2,1,2,16,1,1,1,1,1,0.11267
128,68,68,256,1,68,2,1,2,16,1,2,1,1,2,0.14845
128,68,68,256,1,8,2,1,2,16,1,1,4,1,8,0.06144
128,68,68,256,1,68,2,1,4,8,1,1,1,1,4,0.418835
128,68,68,256,1,2,8,1,8,4,1,1,1,1,64,0.173585
128,68,68,256,1,68,2,1,1,32,1,1,1,1,2,0.161775
128,68,68,256,1,4,4,1,4,8,1,1,2,1,1,0.08651500000000001
128,68,68,256,1,2,4,1,2,16,1,2,2,1,16,0.07168
128,68,68,256,1,34,2,1,8,4,1,1,4,1,4,0.09315
128,68,68,256,1,2,16,1,8,4,1,1,1,1,64,0.249875
128,68,68,256,1,2,2,1,2,16,1,1,2,1,16,0.10291
128,68,68,256,1,4,8,1,4,8,1,17,1,1,16,0.09933
128,68,68,256,1,34,2,1,4,8,1,1,4,1,32,0.10749
128,68,68,256,1,68,2,1,2,16,1,1,2,1,1,0.19658
128,68,68,256,1,4,2,1,4,8,1,1,2,1,256,0.16025499999999998
128,68,68,256,1,4,4,1,1,32,1,4,1,1,4,0.068655
128,68,68,256,1,2,4,1,1,32,1,17,1,1,16,0.0768
128,68,68,256,1,2,2,1,2,16,1,4,4,1,16,0.07782
128,68,68,256,1,2,8,1,2,16,1,2,1,1,8,0.06246
128,68,68,256,1,2,2,1,4,8,1,1,1,1,32,0.09626
128,68,68,256,1,34,4,1,2,16,1,4,2,1,2,0.20992
128,68,68,256,1,4,4,1,2,16,1,17,1,1,1,0.13309
128,68,68,256,1,2,2,1,8,4,1,1,16,1,32,0.07880000000000001
128,68,68,256,1,2,2,1,2,16,1,4,1,1,256,0.12646000000000002
128,68,68,256,1,2,2,1,2,16,1,1,4,1,32,0.12797
128,68,68,256,1,34,2,1,2,16,1,4,4,1,2,0.24680000000000002
128,68,68,256,1,34,2,1,4,8,1,2,1,1,1,0.16486
128,68,68,256,1,2,2,1,1,32,1,8,2,1,32,0.07882
128,68,68,256,1,34,4,1,2,16,1,4,1,1,32,0.258035
128,68,68,256,1,34,2,1,2,16,1,4,1,1,4,0.09315
128,68,68,256,1,34,4,1,1,32,1,8,1,1,4,0.17715
