K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
64,56,56,64,1,2,2,1,2,16,1,14,1,1,16,0.0176
64,56,56,64,1,14,2,1,2,16,1,1,1,1,32,0.017775
64,56,56,64,1,4,4,1,8,4,1,14,1,1,4,0.0199
64,56,56,64,1,4,2,1,8,4,1,2,4,1,8,0.013555000000000001
64,56,56,64,1,14,2,1,1,32,1,32,1,1,4,0.04509
64,56,56,64,1,14,2,1,32,1,1,7,2,1,2,0.055315
64,56,56,64,1,32,2,1,1,32,1,1,1,1,2,0.02717
64,56,56,64,1,2,4,1,8,4,1,28,1,1,4,0.02029
64,56,56,64,1,14,2,1,8,4,1,14,1,1,4,0.03798
64,56,56,64,1,14,4,1,4,8,1,4,1,1,2,0.02173
64,56,56,64,1,2,8,1,16,2,1,1,4,1,4,0.01363
64,56,56,64,1,2,4,1,32,1,1,7,1,1,4,0.02099
64,56,56,64,1,2,2,1,4,8,1,8,4,1,64,0.01603
64,56,56,64,1,4,4,1,4,8,1,2,1,1,4,0.013585
64,56,56,64,1,28,4,1,16,2,1,1,2,1,1,0.036355
64,56,56,64,1,14,8,1,16,2,1,1,1,1,16,0.064385
64,56,56,64,1,28,2,1,2,16,1,4,1,1,2,0.02403
64,56,56,64,1,4,2,1,1,32,1,1,1,1,1,0.027229999999999997
64,56,56,64,1,4,8,1,4,8,1,4,1,1,2,0.01805
64,56,56,64,1,4,8,1,4,8,1,2,1,1,16,0.01363
64,56,56,64,1,16,8,1,4,8,1,1,1,1,64,0.027535
64,56,56,64,1,28,2,1,2,16,1,2,2,1,2,0.02346
64,56,56,64,1,2,2,1,8,4,1,2,2,1,8,0.01546
64,56,56,64,1,2,2,1,16,2,1,14,1,1,4,0.02432
64,56,56,64,1,2,2,1,32,1,1,1,32,1,4,0.02093
64,56,56,64,1,8,8,1,8,4,1,1,1,1,4,0.01901
64,56,56,64,1,4,2,1,2,16,1,7,2,1,16,0.0145
64,56,56,64,1,8,4,1,4,8,1,2,1,1,64,0.01264
64,56,56,64,1,28,2,1,8,4,1,2,4,1,16,0.02698
64,56,56,64,1,4,8,1,16,2,1,7,2,1,1,0.0399
64,56,56,64,1,14,2,1,16,2,1,2,8,1,16,0.02408
64,56,56,64,1,2,2,1,16,2,1,2,8,1,2,0.02253
64,56,56,64,1,2,4,1,16,2,1,14,2,1,4,0.02029
64,56,56,64,1,2,32,1,32,1,1,1,2,1,4,0.01904
64,56,56,64,1,14,8,1,4,8,1,4,1,1,4,0.02509
64,56,56,64,1,28,2,1,8,4,1,14,1,1,1,0.08227
64,56,56,64,1,14,2,1,8,4,1,2,4,1,32,0.01578
64,56,56,64,1,4,2,1,4,8,1,2,4,1,4,0.014895
64,56,56,64,1,14,2,1,16,2,1,7,1,1,1,0.04083
64,56,56,64,1,2,8,1,16,2,1,14,1,1,1,0.02678
64,56,56,64,1,2,4,1,8,4,1,4,4,1,2,0.02064
64,56,56,64,1,14,4,1,4,8,1,2,2,1,64,0.01478
64,56,56,64,1,28,2,1,2,16,1,4,1,1,16,0.018035000000000002
64,56,56,64,1,4,4,1,4,8,1,4,1,1,16,0.01136
64,56,56,64,1,14,4,1,4,8,1,7,1,1,8,0.025005
64,56,56,64,1,14,8,1,8,4,1,2,1,1,1,0.0337
64,56,56,64,1,14,2,1,2,16,1,7,2,1,16,0.02234
64,56,56,64,1,14,4,1,8,4,1,4,1,1,8,0.01926
64,56,56,64,1,56,2,1,1,32,1,7,1,1,4,0.04528
64,56,56,64,1,4,2,1,4,8,1,2,2,1,1,0.01779
64,56,56,64,1,8,2,1,1,32,1,2,1,1,64,0.01318
64,56,56,64,1,16,2,1,2,16,1,1,1,1,32,0.01587
64,56,56,64,1,56,2,1,2,16,1,1,1,1,8,0.060465
64,56,56,64,1,4,16,1,8,4,1,7,1,1,32,0.022575
64,56,56,64,1,14,4,1,16,2,1,1,8,1,2,0.02928
64,56,56,64,1,14,2,1,32,1,1,1,8,1,4,0.02259
64,56,56,64,1,28,2,1,16,2,1,1,16,1,4,0.04704
64,56,56,64,1,28,4,1,2,16,1,7,1,1,2,0.0439
64,56,56,64,1,4,4,1,2,16,1,1,1,1,64,0.020045
